Topic,Documents
7,A bill for an act prohibiting instruction related to gender identity and sexual orientation in school districts and charter schools in kindergarten through grade three.
8,(See HF 348.)
-1,An Act to Eliminate the Educational Purposes Exception to the Prohibition on the Dissemination of Obscene Matter to Minors
6,"Amend The South Carolina Code Of Laws By Adding Chapter 23 To Title 63 So As To Provide That Parents Have Fundamental Rights Regarding The Upbringing, Education, And Care Of Their Children; To Define Necessary Terms; To Limit The Ability Of The Government To Infringe On Parental Rights; To Identify Certain Fundamental Rights Of Parents; To Require That School Districts Create Parental Involvement Policies; To Prohibit Care Providers From Soliciting Or Providing Health Care Services To Children Without Written Parental Consent; To Provide That The Chapter's Provisions Supersede State Of Emergency Declarations; To Create A Cause Of Action For Violations Of This Chapter; And By Amending Section 63-5-340, Relating To The Age At Which A Minor May Consent To Health Services, So As To Raise The Age To Eighteen."
6,"Amend The South Carolina Code Of Laws By Enacting The ""families' Rights And Responsibilities Act"" By Adding Chapter 23 To Title 63 So As To Recognize That Parents Have The Ultimate Responsibility To Direct The Upbringing, Education, Health Care, And Mental Health Of Their Children; To Set Forth Certain Rights And Responsibilities; To Require Local School Boards Of Trustees To Take Certain Actions To Promote Parental Involvement; To Require Medical Providers To Obtain Parental Consent Before Providing Health Care Services To A Child Of The Parent, With Exceptions; To Create A Cause Of Action For Violation Of The Chapter; And For Other Purposes; And To Amend Section 59-28-160, Relating To Local School Boards Of Trustees, So As To Make Conforming Changes."
6,"Amend The South Carolina Code Of Laws, Title 63, By Adding Chapter 23 So As To Enact The Parental Bill Of Rights; By Adding Section 63-23-110 So As To Provide That Parents Have Fundamental Rights Regarding The Upbringing, Education, And Care Of Their Children; By Adding Section 63-23-120 So As To Define Necessary Terms; By Adding Section 63-23-130 So As To Provide That The Government Cannot Infringe On Fundamental Rights Of Parents Without A Compelling State Interest That Is Narrowly Tailored And That Cannot Be Achieved By A Less Intrusive Means; By Adding Section 63-23-140 So As To Provide Fundamental Rights Of Parents; By Adding Section 63-23-150 So As To Require That School Districts Should Create Parental Involvement Policies; By Adding Section 63-23-160 So As To Prohibit Health Care Providers From Soliciting Or Providing Health Care Services To Children Without Written Parental Consent; By Adding Section 63-23-170 To Provide That The Provisions Contained In This Chapter Supersede Any Matter To The Contrary Contained In A State Of Emergency; By Adding Section 63-23-180 To Provide For A Cause Of Action For Violations Of This Chapter; And By Amending Section 63-5-340, Relating To A Minor's Consent To Health Services, So As To Raise The Age At Which A Minor May Consent To Health Services."
3,Removes requirement that menstrual products be provided in student bathrooms designated for males.
3,Prohibits district school boards from adopting specified procedures relating to parental notification.
1,Prohibits school district from providing health care services if parent withholds consent or declines specified health care service.
3,Removes requirement that menstrual products be provided in public charter schools and in bathrooms designated for males.
12,"Declares emergency, effective on passage."
-1,"To prohibit Federal education funds from being provided to elementary schools that do not require teachers to obtain written parental consent prior to teaching lessons specifically related to gender identity, sexual orientation, or transgender studies, and for other purposes."
0,Public school students; self-identification as gender other than biological sex; parental contact.
0,"Requires any person licensed as administrative or instructional personnel by the Board of Education and employed by a local school board who, in the scope of his employment, has reason to believe, as a result of direct communication from a student, that such student is self-identifying as a gender that is different than his biological sex to contact, as soon as practicable and in accordance with Board guidelines, at least one of such student's parents to ask whether such parent is aware of the student's mental state and whether the parent wishes to obtain or has already obtained counseling for such student."
9,Establishes a teacher bill of rights
-1,Establishes provisions governing transparency in public education
1,"Establishes protections of parental rights to direct the mental, emotional, and physical health and well-being of children"
3,Prohibits the discussion of gender identity or sexual orientation by school personnel
15,Creates provisions relating to curricula and instruction in public schools
-1,Establishes provisions relating to classroom instruction on gender identity and sexual orientation in certain grade levels
4,"Establishes the """"Do No Harm Act"""" relating to diversity-equity-inclusion requirements"
15,Modifies provisions regarding elementary and secondary education
11,Relating to parental rights in public education and prohibiting instruction regarding sexual orientation or gender identity for certain public school students.
1,Establishing the parental bill of rights.
10,"Relating to protected expression, intellectual freedom, and viewpoint diversity at public institutions of higher education."
14,Relating to parental rights in education.
7,A bill for an act relating to parental and guardian consent and information regarding the gender identity of students enrolled in a school district or charter school.
8,(Formerly HF 9.)
